id,candidate_id,previous_status,new_status,status_change_date,changed_by,change_source,notes,cycle_time_days,created_at
1005,1304,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1006,1308,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1007,1314,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1008,1316,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1009,1317,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1010,1319,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1011,1320,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1012,1323,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1013,1326,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1014,1329,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1015,1331,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1016,1324,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1017,1325,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1018,1336,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1019,1341,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1020,1343,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
